,APN,BA>75 All Slopes,BA>75 & S>30,BA>75 & 30>S>15,BA>75 & S<15,"BA<75,BA>50  and S>30","BA<75,BA>50  and 30>S>15","BA<75,BA>50 and S<15","BA<50,BA>25 and S>30","BA<50,BA>25 and 30>S>15","BA<50,BA>25 and S<15",BA<25 and S>30,BA<25 and 30>S>15,BA<25 and S<15
123,011242010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
124,011242011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
125,011243001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.38
126,011243002,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.27,0.0,0.0,0.09
127,011243003,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.3,0.0,0.0,0.23
128,011243004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.49
129,011253002,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.35,0.0,0.0,0.83
130,011252011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.29,0.0,0.01,0.08
131,011282005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.53
132,011281004,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.06,0.05,0.25,0.04,0.05,0.22
133,011281005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.31,0.04,0.07,0.27
134,011140001,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.0,0.0,0.03
135,011290013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
136,011282001,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.47
137,011282002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
138,011282003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
139,011282004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.49
140,011290001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.63
141,011281002,0.0,0.0,0.0,0.0,0.08,0.14,0.23,0.0,0.0,0.04,0.0,0.03,0.19
142,011290002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.64
143,011290003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.67,0.74
144,011290004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.78,0.69
145,011290005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.88,0.85
146,011290006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.24,0.8
147,011290007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.35,0.36
148,011290008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.47,0.43
149,011290009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.5,0.25
150,011281003,0.0,0.0,0.0,0.0,0.02,0.03,0.28,0.06,0.06,0.05,0.0,0.02,0.26
151,011281001,0.0,0.0,0.0,0.0,0.07,0.1,0.29,0.0,0.0,0.03,0.0,0.01,0.3
152,011253001,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.16,0.0,0.0,0.57
153,011261001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.33
154,011290011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.5
155,011254001,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.51,0.0,0.0,0.05
156,011233007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71
157,011140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.11
158,011140004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.04
159,011254007,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.01,0.12,0.33,0.0,0.05,0.02
160,011254008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.12,0.15
161,011254009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.0,0.1,0.29
162,011261002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
163,011280ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.31,0.0,0.0,0.39
164,011261003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.38
165,011261004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0,0.0,0.42
166,011261005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
167,011261006,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.69
168,011262001,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.03,0.24,0.0,0.03,0.14
169,011262004,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.0,0.07,0.25,0.0,0.0,0.0
170,011290014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57
171,011262007,0.0,0.0,0.0,0.0,0.0,0.01,0.58,0.01,0.1,0.32,0.0,0.01,0.01
172,011240ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.09,1.03
173,011232007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
174,011233006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
175,011170004,0.0,0.0,0.0,0.0,0.0,0.1,0.13,0.0,0.04,0.07,0.0,0.0,0.0
176,011200014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.28,7.28,14.82
177,011200015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.54,0.46,2.25,6.25,10.32
178,011200016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.11,3.08,5.47,11.81
179,011160ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.5
180,011160011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
181,011150020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
182,011150017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.14
183,011150016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
184,011150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
185,011150014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
186,011150013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
187,011150011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
188,011150010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
189,011150008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.22
190,011150007,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.42,0.0,0.0,0.12
191,011210014,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.93,0.0,0.0,2.67
192,011210015,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,1.34,0.0,0.0,1.2
193,011210016,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1.53,0.0,0.0,0.83
194,011150004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
195,011200013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.48,0.55,4.36,14.05
196,011200011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,5.2,15.9
197,011210019,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,1.12,0.0,0.0,1.83
198,011200010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,3.7,16.39
